citation_number,reference,claim_supported,source_verified,doi_verified,publisher_verified,used_in_text,keep_or_remove,notes
1,"J. W. Cooley and J. W. Tukey, ""An algorithm for the machine calculation of complex Fourier series,"" Math. Comput., vol. 19, no. 90, pp. 297-301, 1965, doi: 10.1090/S0025-5718-1965-0178586-1.","That efficient O(N log N) computation of the DFT is standard, motivating the FFT cross-check in Section IV-B.",yes,yes,yes,"Sec. I, Sec. IV-B",keep,"Verified via AMS/ADS/Semantic Scholar during this review."
2,"A. V. Oppenheim and R. W. Schafer, Discrete-Time Signal Processing, 3rd ed. Upper Saddle River, NJ, USA: Pearson, 2010.","Parseval/Plancherel identity for the unitary DFT; standard DFT properties and Hermitian symmetry.",no,n/a,no,"Sec. III-A, Sec. III-B",keep,"REQUIRES MANUAL VERIFICATION. Cited from established knowledge; edition/publisher not independently confirmed in this review."
3,"N. Ahmed, T. Natarajan, and K. R. Rao, ""Discrete cosine transform,"" IEEE Trans. Comput., vol. C-23, no. 1, pp. 90-93, Jan. 1974, doi: 10.1109/T-C.1974.223784.","That energy compaction is the standard transform-selection criterion and is benchmarked on zero-mean/first-order-Markov sources, with DCT near-KLT and superior to DFT. Load-bearing for the research gap in Sec. II.",yes,yes,yes,"Sec. I, Sec. II, Sec. VI",keep,"Verified. Central to the gap argument: the zero-mean benchmarking assumption is exactly what the 2013/2014 analysis violated."
4,"Y. Wang and D. Mukherjee, ""The discrete cosine transform and its impact on visual compression: Fifty years from its invention [Perspectives],"" IEEE Signal Process. Mag., vol. 40, no. 6, pp. 14-17, Sep. 2023, doi: 10.1109/MSP.2023.3282775.","Modern restatement of the energy-compaction framework and its assumptions; establishes that the state of the art has not changed on this point.",yes,yes,yes,"Sec. II, Sec. VI",keep,"Verified via IEEE Xplore/ADS/Semantic Scholar. Supplies the recent (2020-2026) anchor required by the review brief."
5,"F. J. Harris, ""On the use of windows for harmonic analysis with the discrete Fourier transform,"" Proc. IEEE, vol. 66, no. 1, pp. 51-83, Jan. 1978, doi: 10.1109/PROC.1978.10837.","Window main-lobe widths and peak sidelobe levels; used as the independent reference against which this study's window implementation is validated.",yes,yes,yes,"Sec. IV-C, Sec. V-F",keep,"Verified. Measured sidelobe levels (-13.3, -31.5, -42.4, -58.1 dB) agree with published values to within 1.5 dB - a genuine external check on the implementation."
6,"H. Hassanieh, P. Indyk, D. Katabi, and E. Price, ""Nearly optimal sparse Fourier transform,"" in Proc. 44th Annu. ACM Symp. Theory Comput. (STOC), 2012, pp. 563-578, doi: 10.1145/2213977.2214029.","That sparse-recovery theory provides guarantees for reconstruction from few coefficients, i.e. that the coefficient-selection question is live in the current literature.",yes,yes,yes,Sec. II,keep,"Verified via ACM DL and Wikidata."
7,"A. C. Gilbert, P. Indyk, M. Iwen, and L. Schmidt, ""Recent developments in the sparse Fourier transform: A compressed Fourier transform for big data,"" IEEE Signal Process. Mag., vol. 31, no. 5, pp. 91-100, 2014.","Survey positioning of sparse Fourier methods; establishes what the sparse-FT literature does and does not address about energy accounting.",yes,partial,yes,Sec. II,keep,"Bibliographic details verified via multiple independent reference lists and IEEE Xplore. DOI string NOT independently confirmed - omitted rather than guessed."
8,"J. C. Schatzman, ""Accuracy of the discrete Fourier transform and the fast Fourier transform,"" SIAM J. Sci. Comput., vol. 17, no. 5, pp. 1150-1166, Sep. 1996, doi: 10.1137/S1064827593247023.","That the numerical accuracy of DFT/FFT computation is a characterized problem, and that FFT is typically more accurate than direct summation. Bounds the novelty claim for Sec. V-G.",yes,yes,yes,"Sec. II, Sec. V-G, Sec. VI",keep,"Verified via SIAM DOI and Semantic Scholar."
9,"M. Frigo and S. G. Johnson, ""The design and implementation of FFTW3,"" Proc. IEEE, vol. 93, no. 2, pp. 216-231, Feb. 2005, doi: 10.1109/JPROC.2004.840301.","Identifies the class of FFT implementation underlying numpy.fft, relevant to the direct-DFT vs FFT agreement test.",yes,yes,yes,Sec. IV-B,keep,"Verified via INSPIRE/ADS/Semantic Scholar and the authors' own PDF."
10,"M. D. Wilkinson et al., ""The FAIR guiding principles for scientific data management and stewardship,"" Sci. Data, vol. 3, p. 160018, 2016, doi: 10.1038/sdata.2016.18.","Standard against which the data- and code-availability provisions of this study are framed.",yes,yes,yes,"Sec. IX, Data Availability",keep,"Verified via Nature/PubMed/Semantic Scholar."
11,"T. L. Udeh, ""Analysis of discrete Fourier transform of a given function and verification of Parseval Theorm,"" ResearchGate, 2014.","The prior work from which this study develops; source of the baseline sequence, the real-form transform pair, the low-pass retention scheme and the originating question.",no,n/a,no,"Abstract, Sec. I, Sec. IV-A, Sec. V, Acknowledgment of Prior Work",keep,"REQUIRES MANUAL VERIFICATION of exact metadata. MANDATORY citation regardless: prior-publication disclosure. Metadata as supplied by the author in the review brief."
